Identifiant_Client,Marque,Usage,CSP,Puissance,Valeur,Zone_tarif,Statut_marital,Année_permis,Mode_garage,Age,Ancienneté_véhicule,Ancienneté_contrat,Type_assurance,Sinistre
1269347,Peugeot,Privé,Cadres et professions intellectuelles supérieures (CPIS),5,4,7,Célibataire,2004,Non,26,13,4,Tous risques sérénité,Accident
1270643,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,6,4,Inconnu,1984,Oui,47,13,13,Tous risques sérénité,Aucun accident
1271181,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,5,5,Inconnu,1977,Oui, ,10,8,Tous risques,Aucun accident
1271406,Renault,Privé & Professionnel,Agriculteurs exploitants (AE),2,3,2,Marié,1998,Non,33,13,9,Tous risques,Aucun accident
1271943,Renault,Privé & Professionnel,"Artisans, commerçants et chefs d’entreprise (ACCE)",5,4,2,Marié,1985,Non,45,7,6,Tous risques sérénité,Aucun accident
1272118,Renault,Privé & Professionnel,Agriculteurs exploitants (AE),3,3,3,Marié,1995,Oui,36,17,5,Tiers,Aucun accident
1272379,Renault,Privé,Employés (E),6,7,2,Marié,1980,Non,52,17,6,Tous risques,Aucun accident
1272569,Renault,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),9,9,4,Inconnu,1998,Oui,41,5,6,Tous risques,Aucun accident
1272791,Renault,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),4,4,4,Marié,1999,Non,55,15,8,Tous risques sérénité,Accident
1273254,Citroën,Privé & trajet travail,"Artisans, commerçants et chefs d’entreprise (ACCE)",11,14,2,Marié,1976,Oui,58,7,6,Tous risques sérénité,Aucun accident
1273576,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),4,8,3,Marié,2005,Non,30,13,5,Tous risques,Accident
1275596,Citroën,Privé & Professionnel,Employés (E),9,11,5,Marié,1969,Non,61,4,7,Tous risques sérénité,Aucun accident
1276318,Citroën,Privé & Professionnel,Employés (E),4,2,5,Marié,1995,Non,35,9,11,Tous risques sérénité,Aucun accident
1276318,Citroën,Privé,Employés (E),4,5,2,Inconnu,1980,Non,61,15,13,Tous risques sérénité,Aucun accident
1276511,Renault,Privé,Retraités  (R),4,5,8,Marié,1981,Non,76,13,4,Tiers,Aucun accident
1276743,Fiat,Privé,Cadres et professions intellectuelles supérieures (CPIS),8,9,10,Marié,2005,Non,40,10,4,Tiers,Aucun accident
1276807,Renault,Privé,Professions intermédiaires (PI),5,8,3,Inconnu,1980,Non,53,15,13,Tous risques sérénité,Aucun accident
1276875,Renault,Privé & trajet travail,Autres personnes sans activité professionnelle (APSAP),2,3,7,Célibataire,2007,Non,24,21,5,Tous risques,Aucun accident
1276936,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,7,2,Marié,1989,Oui,42,8,20,Tiers,Aucun accident
1278595,Citroën,Privé,Retraités  (R),8,11,2,Marié,1968,Oui,76,12,16,Tous risques,Aucun accident
1278711,Volkswagen,Privé,Retraités  (R),4,4,3,Inconnu,1990,Non,76,10,4,Tiers,Accident
1279040,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,7,7,Marié,1997,Non,49,15,8,Tous risques,Accident
1279041,Renault,Privé & trajet travail,Employés (E),2,3,7,Marié,1974,Non,58,13,14,Tous risques,Aucun accident
1279690,Citroën,Privé,Employés (E),1,2,2,Marié,1989,Non,42,18,8,Tous risques,Aucun accident
1279838,Volvo,Privé & trajet travail,Employés (E),8,8,8,Marié,2003,Non,33,8,6,Tous risques,Accident
1280345,Ford,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,7,8,Célibataire,1981,Oui,54,8,4,Tiers,Accident
1280391,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,4,4,Marié,1985,Oui,46,14,12,Tiers,Aucun accident
1280775,Peugeot,Privé & trajet travail,Employés (E),8,8,3,Marié,1970,Oui,61,4,4,Tous risques,Aucun accident
1281995,Volkswagen,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),4,4,4,Marié,1987,Oui,51,9,7,Tiers,Aucun accident
1282205,Chrysler,Privé,Retraités  (R),6,6,3,Marié,1974,Oui,76,18,4,Tous risques sérénité,Aucun accident
1282268,Saab,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,7,3,Célibataire,1998,Oui,35,9,7,Tiers,Accident
1282397,Citroën,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,4,2,Célibataire,2001,Oui,29,8,6,Tous risques sérénité,Accident
1283035,BMW,Privé,Professions intermédiaires (PI),5,5,10,Marié,1993,Oui,40,7,4,Tous risques,Aucun accident
1283401,Renault,Privé & trajet travail,Employés (E),6,6,3,Marié,1966,Non,71,11,14,Tous risques sérénité,Accident
1283677,Citroën,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),5,5,9,Inconnu, ,Non, ,4,4,Tous risques sérénité,Aucun accident
1284045,Peugeot,Privé & Professionnel,"Artisans, commerçants et chefs d’entreprise (ACCE)",6,8,2,Marié,1990,Oui,42,15,10,Tiers,Aucun accident
1284730,Peugeot,Privé & trajet travail,Employés (E),5,4,5,Marié,1979,Non,51,17,7,Tous risques sérénité,Aucun accident
1285779,Fiat,Privé,Cadres et professions intellectuelles supérieures (CPIS),5,6,4,Célibataire,2002,Oui,29,26,6,Tous risques,Accident
1285793,Citroën,Privé,Cadres et professions intellectuelles supérieures (CPIS),8,9,3,Célibataire,1999,Oui,32,6,5,Tous risques sérénité,Accident
1285921,Citroën,Privé & trajet travail,Employés (E),7,8,3,Marié,1984,Oui,54,12,7,Tous risques,Aucun accident
1286616,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,6,4,Marié,1984,Oui,50,11,5,Tous risques,Aucun accident
1286784,Volkswagen,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,8,3,Célibataire,1999,Oui,32,8,12,Tous risques sérénité,Aucun accident
1287918,Ford,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,6,2,Célibataire,2000,Oui,33,8,12,Tous risques sérénité,Aucun accident
1287978,Peugeot,Privé & Professionnel,Agriculteurs exploitants (AE),6,5,2,Célibataire,2004,Oui,31,11,6,Tous risques,Accident
1288352,Smart,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,8,5,Célibataire,1994,Non,41,10,5,Tous risques sérénité,Aucun accident
1288366,Renault,Privé & Professionnel,Agriculteurs exploitants (AE),10,11,1,Célibataire,1995,Oui,35,12,9,Tiers,Aucun accident
1288552,Renault,Privé & trajet travail,Employés (E),9,10,3,Marié,1976,Non,56,11,6,Tous risques,Aucun accident
1289204,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,3,2,Marié,2000,Non,37,19,4,Tous risques,Accident
1289925,Peugeot,Privé & trajet travail,Autres personnes sans activité professionnelle (APSAP),9,9,3,Inconnu, ,Non, ,8,8,Tous risques,Aucun accident
1290030,Renault,Privé,Professions intermédiaires (PI),2,3,5,Célibataire,2006,Non,38,12,4,Tous risques,Accident
1290753,Renault,Privé,Retraités  (R),6,6,8,Marié,1978,Non,63,21,10,Tiers,Accident
1290783,Citroën,Privé,Cadres et professions intellectuelles supérieures (CPIS),7,7,2,Marié,1994,Oui,36,5,5,Tiers,Aucun accident
1291501,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,6,4,Célibataire,2000,Non,31,12,12,Tous risques,Accident
1292226,Renault,Privé & Professionnel,"Artisans, commerçants et chefs d’entreprise (ACCE)",3,1,3,Inconnu, ,Oui, ,11,5,Tous risques,Aucun accident
1292686,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),3,5,5,Marié,1987,Non,48,14,4,Tous risques,Aucun accident
1293448,Peugeot,Privé,Professions intermédiaires (PI),6,8,2,Marié,1997,Non,43,24,15,Tiers,Aucun accident
1294988,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,5,2,Marié,1987,Non,48,7,13,Tous risques,Aucun accident
1295283,Ford,Privé,Cadres et professions intellectuelles supérieures (CPIS),8,7,8,Célibataire,2007,Oui,34,10,4,Tous risques,Accident
1295301,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,7,3,Marié,1990,Oui,40,11,12,Tous risques,Aucun accident
1296367,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),10,10,5,Marié,1999,Non,32,13,4,Tous risques,Accident
1296601,Peugeot,Privé & Professionnel,Ouvriers (O),6,5,4,Marié,1975,Oui,61,7,5,Tous risques sérénité,Aucun accident
1296716,Volkswagen,Privé & Professionnel,Agriculteurs exploitants (AE),4,6,2,Marié,1984,Non,46,13,13,Tous risques sérénité,Aucun accident
1297903,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,6,7,Célibataire,1995,Non,41,19,6,Tous risques,Accident
1298848,Citroën,Privé,Professions intermédiaires (PI),8,8,2,Marié,1981,Non,62,14,4,Tiers,Aucun accident
1300581,Renault,Privé,Professions intermédiaires (PI),2,3,6,Inconnu,1978,Non,60,15,4,Tiers,Aucun accident
1300905,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,6,3,Célibataire,2002,Non,28,15,8,Tous risques,Accident
1301097,Volkswagen,Privé & trajet travail,Ouvriers (O),7,8,5,Marié,1979,Oui,54,12,5,Tous risques,Aucun accident
1301719,Citroën,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),11,18,7,Inconnu, ,Oui, ,4,4,Tous risques sérénité,Aucun accident
1304050,Ford,Privé & Professionnel,Ouvriers (O),8,12,4,Marié,2002,Non,30,4,5,Tiers,Accident
1304072,Saab,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,5,3,Marié,1980,Non,62,9,17,Tous risques,Aucun accident
1304198,Renault,Privé & Professionnel,Ouvriers (O),9,10,3,Inconnu,1987,Oui,45,5,13,Tous risques,Aucun accident
1305691,Renault,Privé & trajet travail,Employés (E),7,6,8,Célibataire,1982,Oui,49,5,29,Tous risques sérénité,Aucun accident
1306345,Renault,Privé,Professions intermédiaires (PI),9,10,3,Célibataire,1992,Oui,39,17,8,Tiers,Aucun accident
1306346,Renault,Privé,Retraités  (R),8,10,3,Marié,1970,Oui,69,6,9,Tiers,Aucun accident
1306813,Saab,Privé,Retraités  (R),10,10,8,Marié,1978,Oui,74,7,5,Tous risques sérénité,Aucun accident
1307003,Citroën,Privé,Cadres et professions intellectuelles supérieures (CPIS),3,4,3,Marié,1979,Non,51,18,6,Tous risques,Aucun accident
1307908,Fiat,Privé & trajet travail,Employés (E),6,5,2,Marié,1978,Oui,58,5,5,Tous risques,Aucun accident
1307997,Fiat,Privé,Cadres et professions intellectuelles supérieures (CPIS),5,5,7,Marié,1979,Non,52,8,6,Tous risques,Accident
1308143,Citroën,Privé & Professionnel,"Artisans, commerçants et chefs d’entreprise (ACCE)",7,8,2,Inconnu, ,Oui, ,4,6,Tiers,Aucun accident
1308998,Saab,Privé,Cadres et professions intellectuelles supérieures (CPIS),8,9,6,Marié,1984,Non,46,9,13,Tous risques sérénité,Aucun accident
1309147,Fiat,Privé & trajet travail,Employés (E),6,7,2,Célibataire,1990,Non,41,7,8,Tous risques,Aucun accident
1309319,Citroën,Privé,Retraités  (R),4,3,1,Marié,1966,Oui,73,8,6,Tous risques,Aucun accident
1311209,Citroën,Privé & Professionnel,Agriculteurs exploitants (AE),2,2,3,Marié,1989,Oui,55,12,5,Tous risques,Aucun accident
1311560,Renault,Privé,Professions intermédiaires (PI),10,13,7,Marié,1968,Non,63,9,31,Tous risques sérénité,Aucun accident
1311965,Fiat,Privé,Employés (E),5,10,3,Célibataire,1995,Non,35,16,12,Tous risques,Aucun accident
1312741,Ford,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,6,5,Marié,1981,Oui,48,6,5,Tiers,Aucun accident
1312832,Audi,Privé,Professions intermédiaires (PI),10,10,3,Marié,1998,Oui, ,8,4,Tous risques sérénité,Aucun accident
1313196,Citroën,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,8,1,Marié,1989,Oui,41,12,5,Tous risques sérénité,Aucun accident
1313568,Saab,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,11,5,Marié,1990,Oui,40,11,5,Tiers,Aucun accident
1313689,Peugeot,Privé,Professions intermédiaires (PI),7,10,3,Marié,1967,Oui,65,9,4,Tiers,Aucun accident
1313836,Volvo,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,10,5,Marié,1991,Oui,45,6,6,Tous risques sérénité,Aucun accident
1314124,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,9,5,Marié,1997,Oui,54,9,14,Tiers,Aucun accident
1314422,Renault,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),7,9,6,Inconnu, ,Oui, ,8,6,Tous risques,Aucun accident
1314436,Citroën,Privé & Professionnel,"Artisans, commerçants et chefs d’entreprise (ACCE)",6,9,6,Marié,1973,Non,58,9,34,Tous risques,Accident
1314537,Renault,Privé,Cadres et professions intellectuelles supérieures (CPIS),11,18,3,Marié,1989,Oui,58,7,4,Tous risques sérénité,Aucun accident
1315544,Renault,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),5,7,3,Inconnu, ,Non, ,14,5,Tous risques,Aucun accident
1315688,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,4,4,Marié,1979,Oui,55,5,10,Tous risques,Aucun accident
1315789,Saab,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),6,8,3,Marié,1978,Oui,55,11,18,Tous risques,Aucun accident
1315836,Renault,Privé,Retraités  (R),3,5,7,Marié,1965,Oui,88,12,40,Tiers,Accident
1315990,Ford,Privé & Professionnel,Agriculteurs exploitants (AE),4,8,2,Célibataire,1997,Non,33,11,15,Tous risques,Aucun accident
1316021,Renault,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),4,2,8,Célibataire,2003,Oui,28,9,32,Tous risques,Aucun accident
1316345,Peugeot,Privé & trajet travail,Employés (E),8,7,2,Marié,1974,Oui,57,9,15,Tous risques sérénité,Aucun accident
1316590,Renault,Privé,Professions intermédiaires (PI),4,5,3,Marié,1969,Non,68,18,15,Tous risques,Aucun accident
1318463,Renault,Privé,Employés (E),2,3,2,Inconnu,1985,Non,45,27,11,Tous risques,Aucun accident
1319469,Smart,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,7,6,Marié,1987,Oui,51,8,4,Tous risques,Aucun accident
1319751,Renault,Privé,Cadres et professions intellectuelles supérieures (CPIS),8,7,7,Marié,1996,Oui,34,10,6,Tous risques,Accident
1319980,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,6,3,Marié,1982,Oui,49,13,7,Tous risques,Aucun accident
1320414,Ford,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,5,5,Marié,1980,Oui,53,13,20,Tiers,Aucun accident
1320506,Renault,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),4,2,5,Inconnu,1988,Non, ,10,10,Tous risques,Aucun accident
1321025,Renault,Privé & trajet travail,Employés (E),5,6,5,Inconnu,2001,Oui,30,13,4,Tiers,Accident
1321215,Peugeot,Privé & Professionnel,Agriculteurs exploitants (AE),5,5,2,Célibataire,2005,Oui,28,5,7,Tous risques,Accident
1321386,BMW,Privé,Retraités  (R),6,7,3,Marié,1974,Oui,77,8,39,Tous risques,Aucun accident
1323446,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,5,3,Célibataire,2008,Non,23,9,4,Tous risques,Accident
1323887,Smart,Privé & trajet travail,Employés (E),8,8,3,Marié,1998,Oui,35,9,14,Tiers,Aucun accident
1324766,Kia,Privé & Professionnel,Ouvriers (O),10,14,5,Marié,1971,Non,65,11,4,Tous risques,Aucun accident
1325262,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,5,1,Marié,1999,Oui,35,11,8,Tous risques,Aucun accident
1325883,Citroën,Privé & Professionnel,"Artisans, commerçants et chefs d’entreprise (ACCE)",9,14,3,Marié,1987,Oui,44,14,7,Tous risques sérénité,Aucun accident
1326132,Ford,Privé & Professionnel,Ouvriers (O),7,11,5,Marié,1994,Non,36,11,4,Tous risques,Aucun accident
1326590,Renault,Privé & trajet travail,Ouvriers (O),6,8,5,Célibataire,2007,Non,25,12,4,Tiers,Accident
1326697,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),4,5,4,Célibataire,1983,Non,48,22,12,Tous risques,Aucun accident
1326837,Kia,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),8,11,6,Marié,1987,Oui,45,12,11,Tous risques,Accident
1328255,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,6,3,Marié,1993,Non,39,19,6,Tiers,Aucun accident
1328359,Alfa Romeo,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),9,12,5,Marié,2000,Oui,32,6,6,Tous risques,Aucun accident
1328371,Renault,Privé & trajet travail,"Artisans, commerçants et chefs d’entreprise (ACCE)",10,12,7,Marié,1973,Oui,57,6,5,Tous risques,Aucun accident
1328453,Ford,Privé,Retraités  (R),5,6,1,Marié,1993,Oui,67,6,16,Tous risques,Aucun accident
1328778,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),9,9,3,Célibataire,1997,Oui,33,7,6,Tiers,Accident
1328780,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,6,4,Inconnu,1980,Oui,55,12,15,Tiers,Aucun accident
1329573,Citroën,Privé & Professionnel,"Artisans, commerçants et chefs d’entreprise (ACCE)",6,8,5,Marié,1989,Non,45,5,13,Tous risques,Aucun accident
1329603,Peugeot,Privé,Retraités  (R),9,8, ,Marié,1972,Non,62,12,5,Tous risques sérénité,Aucun accident
1330731,Renault,Privé & Professionnel,"Artisans, commerçants et chefs d’entreprise (ACCE)",8,11,4,Marié,1996,Oui,34,8,12,Tous risques sérénité,Accident
1330872,Renault,Privé & trajet travail,Employés (E),7,6,5,Marié,1974,Oui,58,6,24,Tiers,Aucun accident
1330994,Citroën,Privé,Cadres et professions intellectuelles supérieures (CPIS),8,8,3,Marié,1978,Non,63,11,11,Tous risques,Aucun accident
1331178,Peugeot,Privé & Professionnel,Ouvriers (O),6,4,4,Inconnu, ,Non, ,8,8,Tiers,Aucun accident
1331337,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,9,3,Célibataire,2006,Oui,27,14,4,Tous risques,Accident
1331509,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,8,2,Marié,1984,Oui,49,16,6,Tiers,Aucun accident
1331606,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,4,3,Marié,1993,Oui,39,10,5,Tous risques,Aucun accident
1331673,Peugeot,Privé,Professions intermédiaires (PI),8,9,5,Marié,1971,Oui,65,4,16,Tous risques,Aucun accident
1332450,Lancia,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),10,11,3,Marié,1985,Oui,46,9,4,Tous risques,Aucun accident
1333891,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),4,3,6,Inconnu,1986,Oui,47,8,8,Tous risques,Aucun accident
1334234,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,7,2,Marié,1997,Non,33,9,5,Tiers,Aucun accident
1335676,Chrysler,Privé,Cadres et professions intellectuelles supérieures (CPIS),11,18,2,Marié,1989,Oui,41,6,4,Tous risques,Aucun accident
1335880,Volkswagen,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,11,6,Marié,1990,Non,59,15,8,Tiers,Aucun accident
1337165,Citroën,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,4,6,Inconnu,1993,Oui,38,7,6,Tous risques sérénité,Aucun accident
1337890,Renault,Privé & Professionnel,Ouvriers (O),9,11,7,Inconnu,1975,Oui,55,8,11,Tous risques,Aucun accident
1337926,Peugeot,Privé,Professions intermédiaires (PI),5,4,5,Marié,1984,Non, ,4,28,Tous risques sérénité,Aucun accident
1338301,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),4,2,3,Célibataire,2007,Oui,25,5,5,Tous risques sérénité,Accident
1338518,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,4,5,Célibataire,1981,Non,50,7,8,Tous risques,Aucun accident
1338962,Fiat,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,7,7,Marié,1992,Non,37,14,4,Tous risques,Accident
1339081,Renault,Privé & Professionnel,Ouvriers (O),5,4,7,Inconnu, ,Oui, ,6,6,Tous risques sérénité,Aucun accident
1339457,Mercedes-Benz,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,9,6,Marié,1992,Oui,39,6,6,Tous risques,Aucun accident
1339462,Ford,Privé,Retraités  (R),5,6,2,Marié,1969,Non,76,25,16,Tous risques sérénité,Aucun accident
1339765,Renault,Privé,Retraités  (R),9,13,4,Marié,1990,Oui,62,6,5,Tous risques,Aucun accident
1339905,Ford,Privé & Professionnel,Employés (E),9,80,3,Marié,1996,Non,35,10,5,Tous risques,Accident
1340055,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),4,4,6,Marié,1995,Non,36,19,5,Tous risques,Accident
1340694,Renault,Privé & Professionnel,Agriculteurs exploitants (AE),4,4,4,Marié,1981,Non,51,14,5,Tous risques,Aucun accident
1341211,Citroën,Privé & Professionnel,Agriculteurs exploitants (AE),6,4,2,Marié,1988,Oui,42,8,9,Tous risques sérénité,Aucun accident
1342093,Ford,Privé & trajet travail,Autres personnes sans activité professionnelle (APSAP),4,8,10,Marié,1978,Non,57,13,6,Tous risques sérénité,Accident
1343053,Citroën,Privé & Professionnel,Agriculteurs exploitants (AE),7,8,3,Marié,1974,Non,61,6,4,Tous risques sérénité,Aucun accident
1343307,Citroën,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),10,13,6,Inconnu, ,Non, ,8,5,Tous risques,Aucun accident
1344084,Citroën,Privé,Retraités  (R),7,7,4,Marié,1959,Oui,72,4,13,Tous risques sérénité,Aucun accident
1344143,Peugeot,Privé,Professions intermédiaires (PI),6,5,3,Marié,1989,Oui,43,13,4,Tiers,Aucun accident
1344216,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,4,3,Inconnu,1983,Oui,56,10,13,Tous risques,Aucun accident
1345013,Lancia,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),7,8,3,Marié,1975,Oui,60,10,17,Tous risques,Aucun accident
1345194,Renault,Privé,Retraités  (R),9,10,8,Marié,1979,Oui,78,8,13,Tiers,Accident
1345538,Renault,Privé & trajet travail,Employés (E),7,6,5,Marié,1990,Oui,65,7,5,Tiers,Aucun accident
1346036,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,4,5,Marié,1982,Oui,52,5,14,Tous risques,Aucun accident
1346299,Peugeot,Privé,Retraités  (R),6,5,3,Marié,1975,Oui,62,10,12,Tous risques sérénité,Aucun accident
1346548,Alfa Romeo,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,10,5,Marié,1993,Non,44,15,6,Tous risques,Aucun accident
1346570,Renault,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),9,10,5,Inconnu,1982,Non, ,5,9,Tiers,Aucun accident
1346789,Peugeot,Privé & Professionnel,Agriculteurs exploitants (AE),7,7,1,Marié,1961,Oui,70,22,23,Tous risques,Aucun accident
1347206,Citroën,Privé,Professions intermédiaires (PI),6,9,2,Marié,1995,Oui,51,10,5,Tiers,Aucun accident
1347615,Citroën,Privé,Professions intermédiaires (PI),9,10,4,Marié,1944,Oui,86,11,16,Tous risques,Accident
1347905,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,6,2,Divorcé,1986,Non,45,6,11,Tous risques sérénité,Aucun accident
1348889,Renault,Privé & Professionnel,Agriculteurs exploitants (AE),6,6,2,Marié,1976,Oui,75,11,4,Tous risques,Aucun accident
1349227,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,6,3,Marié,1990,Oui,41,10,11,Tiers,Accident
1349676,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),9,10,3,Célibataire,1998,Non,32,5,5,Tous risques,Accident
1351231,Chrysler,Privé,Retraités  (R),10,13,2,Marié,1963,Oui,71,10,14,Tiers,Aucun accident
1352040,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),4,5,3,Célibataire,1997,Oui,33,14,5,Tiers,Aucun accident
1353189,Mazda,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,6,3,Marié,1979,Oui,54,18,5,Tous risques,Aucun accident
1353287,Peugeot,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),6,5,10,Marié,1993,Non,38,6,6,Tiers,Aucun accident
1353649,Citroën,Privé,Cadres et professions intellectuelles supérieures (CPIS),8,9,5,Marié,1998,Non,47,6,11,Tous risques,Aucun accident
1353681,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,4,5,Marié,1977,Non,53,10,5,Tous risques,Aucun accident
1353766,Peugeot,Privé & trajet travail,"Artisans, commerçants et chefs d’entreprise (ACCE)",6,5,4,Marié,1979,Non,54,9,6,Tous risques sérénité,Aucun accident
1353901,Renault,Privé & trajet travail,Employés (E),4,4,7,Célibataire,2000,Oui,31,13,10,Tous risques,Aucun accident
1354148,Alfa Romeo,Privé & Professionnel,Ouvriers (O),10,14,3,Marié,1990,Oui,49,16,11,Tous risques,Accident
1355005,Fiat,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,3,2,Célibataire,2002,Oui,30,7,7,Tous risques sérénité,Accident
1355467,Toyota,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),10,16,7,Inconnu,1986,Oui,47,13,13,Tous risques,Aucun accident
1355812,Renault,Privé & trajet travail,Autres personnes sans activité professionnelle (APSAP),5,4,2,Célibataire,2005,Oui,25,12,5,Tous risques sérénité,Accident
1356676,Smart,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),11,16,7,Marié,2003,Non,48,7,6,Tous risques,Aucun accident
1357055,Renault,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),3,5,3,Marié,1983,Oui,47,13,4,Tous risques,Aucun accident
1357294,Ford,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,8,3,Marié,1979,Oui,58,5,12,Tous risques,Aucun accident
1357436,Citroën,Privé,Professions intermédiaires (PI),2,2,8,Célibataire,2007,Oui,29,12,4,Tous risques sérénité,Accident
1358231,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,5,5,Célibataire,1981,Non,54,5,25,Tiers,Aucun accident
1358822,Volkswagen,Privé & trajet travail,Employés (E),6,5,5,Célibataire,1997,Non,39,7,5,Tous risques,Aucun accident
1360228,Toyota,Privé & Professionnel,Ouvriers (O),8,15,4,Marié,1981,Oui,49,13,5,Tous risques,Aucun accident
1360689,Ford,Privé & trajet travail,Employés (E),11,18,6,Marié,1961,Oui,69,5,11,Tous risques,Aucun accident
