ID;What do you like most about this portable music player?;What do you like least about this portable music player?;Age;Gender;Music;Activity
340;I can listen to only the songs that I like.;Nothing.;25-34;Male;Rock;Traveling
348;small and neat, easy to take around with me;so far it's all been fine but could you make it in nicer colours, my phone is pink for instance.;35-44;Female;Folk;Traveling
370;The color;The screen;25-34;Female;Rock;Working
375;Small, light;The headphones, too big;18-24;Female;R&B;Traveling
380;Can store files other than music, small enough to fit in my pocket, and has FM radio;Nothing;25-34;Male;R&B;Traveling
391;rechargable battery;it's quite bulky;<18;Female;Blues;Working
25;very small and holds lots of songs;didn't come with a belt clip;18-24;Female;Country;Traveling
98;Big storage capacity, also does video;too heavy;35-44;Female;Other;Studying
114;Large storage capacity and a good LCD screen for viewing digital photos;Battery life limitations;35-44;Male;Blues;Traveling
156;you can take it everywhere;nothing;25-34;Female;R&B;Relaxing
210;I can put all of my music on it.;It is really pricey.;>54;Male;Classical;Relaxing
237;I can edit the playlist;Lousy sound! It doesn't play files I buy online. What a ripoff!;45-54;Female;Jazz;Traveling
257;Its size means I don't have to listen to the teachers.;It's a bit big, sometimes teachers spot me listening to it.;<18;Female;R&B;Studying
308;I like the various functions that it offers including music, film & photos;It is too big to carry when exercising;18-24;Female;R&B;Traveling
333;It is lightweight and rugged;It is ugly;35-44;Male;Rock;Other
356;I can listen to my music where ever I want;I can not hear what anyone else is saying;18-24;Female;Classical;Other
21;easy to use;size;25-34;Female;Rock;Traveling
51;taking all my music everywhere;loosing all my music if it breaks;35-44;Male;Jazz;Relaxing
58;I can listen to the radio on it;Sometimes the reception isn't that great;25-34;Female;Folk;Traveling
61;high quality, durable, good sound;short battery life;35-44;Female;Jazz;Relaxing
67;Durably constructed;Bulky and heavy to carry;25-34;Female;Jazz;Traveling
74;great quality;too expensive;>54;Male;Classical;Working
80;Small;mine is old and so it hold only 16 songs LOL;35-44;Male;Rock;Other
81;It's nice;Its old;25-34;Female;Other;Traveling
86;Handy;batteries;25-34;Female;Rock;Relaxing
94;Long battery life. Also when you turn it on it picks up where you left off.;It is not loud enough;>54;Male;Classical;Traveling
111;It is compact, tidy and easy to use;I am quite happy with its current features since it serves my purpose;25-34;Female;Rock;Relaxing
113;It's portable;Doesn't let you take stuff off once it's on there. So when it crashes, and it does, you've lost all your music;45-54;Male;Classical;Traveling
120;The sound quality and the ability to record and mix my own play lists.;Battery drainage;35-44;Female;Blues;Traveling
127;It's tough.;style is a little clunky;35-44;Male;Rock;Other
138;The sound quality;The color, I wish it came in a variety of colors to choose from.;>54;Male;Folk;Working
145;Listening while traveling to drown out the noise of crying kids!;Forgot how to upload new music!;35-44;Female;Rock;Traveling
146;It has a lot of storage capacity. I can fit a lot of songs on it. Also, it's very lightweight.;It was expensive!;45-54;Male;Blues;Traveling
152;its small;not enough memory;25-34;Male;Jazz;Relaxing
159;i can listen to whatever i want, whenever i want to.;not enough storage for all my music. i have tons of songs.;35-44;Female;R&B;Working
160;It's actually my son's but I use when I exercise. I like that it's so slim and lightweight. It's pretty too.;Nothing.  It's fine.;35-44;Male;Country;Other
162;"Convenience. Easy to use; I'm a technophobe!";Wish it had a radio;35-44;Male;Blues;Traveling
177;Ease of Use;battery life;35-44;Male;Folk;Relaxing
181;"It has really good sound; not the really bad sound I experienced with Product A. I know people think Product A is really cool but I have been so much happier with the design of Product D.";I wish it had more space.;45-54;Male;Folk;Other
187;It's way cool, the teacher can't even see the headphone cable.;It eats batteries. I have to buy a new one every couple of days.;<18;Male;Rap;Studying
190;easy to transport;too expensive;<18;Female;Other;Relaxing
192;It has a catchy beat an is easy to dance to.  ;Color doesn't match any of my cool outfits;35-44;Female;Classical;Working
195;It was cheap;It's too big;45-54;Male;Other;Traveling
208;It is small, lightweight and easy to carry;nothing;25-34;Female;R&B;Traveling
216;Good Design. Easy to use.;Nothing;25-34;Male;Rock;Working
220;I use it when I work around the house to listen to Frank and Dean when I can.;It is large to carry around and the hook they have for your belt doesn't work well.;>54;Female;Rock;Relaxing
224;The compact design of the device and the software was very user friendly and easy to install;The battery does not last long;18-24;Male;Country;Traveling
235;Handy for listening to music on the way to work.;I like it but now I wish I had Product A.;45-54;Male;R&B;Traveling
236;I can take it anywhere I like;It needs more bass;18-24;Male;Country;Other
241;small, long battery life, and good sound;buttons are very small and difficult to control;25-34;Female;Rock;Traveling
242;can store lots of songs;maybe a little too heavy;45-54;Female;Blues;Traveling
266;Size;Battery life;25-34;Female;Rap;Other
282;small footprint;software;>54;Male;Jazz;Traveling
284;Great music quality;Easy to misplace;45-54;Female;Rock;Traveling
288;Very convenient, can take it anywhere.;It was very hard to set up. I have very little computer experience.;25-34;Male;Folk;Working
294;Ease of use;bad battery life;45-54;Male;R&B;Traveling
298;Uses standard batteries;Bulky;>54;Male;Other;Other
318;convenience;interruption;25-34;Male;Rock;Working
320;You can listen to your own music wherever you are;Size. Bit too bulky.;35-44;Male;R&B;Other
338;compact and good sound quality;control buttons ver small;35-44;Female;R&B;Traveling
341;Its got the best sound quality of any device i've ever had;nothing;45-54;Male;R&B;Working
342;It's small so no one notices that I'm listening to it at work.;It's out dated. I want a new one.;18-24;Male;Country;Working
345;Cheaper than Product A. Just want to listen to music. Don't need video, movies, etc. Perfect for my humble needs.;None that I can think of;35-44;Male;Jazz;Relaxing
349;I can have all my favourite music with me so I don't get bored and it's so easy to use;the headphones socket is faulty so I have to use tape to fix it which is not great;<18;Female;R&B;Traveling
355;sound quality;too hard to use;35-44;Male;Blues;Traveling
357;The small size;The sound;35-44;Female;Rock;Relaxing
361;It's ok for working out. I wanted Product A but got this as a gift.;It's ulgy;18-24;Female;Rock;Other
374;Amount of memory;Doesn't support all music formats;18-24;Female;R&B;Working
376;Provides entertainment whilst traveling to and from work.;size;18-24;Male;Rock;Traveling
377;can use where and when i want;chances of losing it are high;18-24;Male;Classical;Relaxing
381;it's reliable.;it's a bit bulky.;35-44;Female;Other;Other
388;It has a radio in it so I can listen to the radio in the morning on the train and to music in the afternoon on the way home.;It doesn't wirelessly connect to my home stereo.;25-34;Male;Rock;Traveling
389;it has a radio tuner too.;weight;45-54;Male;Rock;Traveling
393;appealing aesthetic;its small storage capacity;18-24;Male;Rap;Traveling
400;It is light and compact;Colour;35-44;Male;Rock;Traveling
2;The battery power is great.;The screen is hard to see when outside.;35-44;Male;Classical;Working
44;It's not that great, really. What I like most about it is that it's NOT Product A!;Well, at first it worked great, cycled thru all CDs, etc. But a few weeks later it only played the current CD and then stopped. Now, for no apparent reason, it repeats the current CD over and over. And yes, I have read the manual!;35-44;Male;Rap;Traveling
76;storage capacity;could be smaller;<18;Female;Rap;Studying
133;I like the small size of the device. It allows me to keep it in a pocket while I use it so that I don't have to hold it like I would a larger device.;My player only holds 256 mb of data, so I can't keep as much music on it as I would like.;35-44;Male;Rock;Traveling
136;The amount of music files it holds;The price;18-24;Female;Classical;Traveling
164;It was much more affordable than Product A.;It's not as attractive as Product A;25-34;Female;Other;Working
170;The color. It's purple which is my favourite color. I also like the accessories you can buy for it.;The battery doesn't seem to last as long as I think it should.;25-34;Female;Other;Working
185;The size. It can take a beating and any jarring won't make the music skip at all. Also, it is small enough to wear around my neck. All of this translates to making exercising and jogging with it easier.;The music management software is weak and so is the amount of storage. I have the 512 MB model and it's still too small.;25-34;Male;Rock;Traveling
203;Sound quality;Size;45-54;Male;Blues;Traveling
209;I like how easily it fits into my purse or pocket;The user manual. The descriptions were not very good.;>54;Female;R&B;Working
234;Handy;Less space;35-44;Male;Classical;Traveling
265;It's small;The attempt at copyright protection, which prohibits the use of downloaded music is annoying.;35-44;Male;Other;Traveling
275;built-in FM tuner;UI is kind of awkward;35-44;Male;Classical;Working
300;it sounds amazing and i love having all that music available to me;too big...should be the size of a credit card;>54;Female;Classical;Working
346;stops me being bored cuz I can listen while I'm working;price;>54;Male;Blues;Working
347;style and portability;More space without more bulkiness;25-34;Male;Other;Traveling
366;It lets me listen to my classic rock whenever I want.;It was expensive, batteries do not last long.;45-54;Female;Rock;Relaxing
384;Easy to use and it looks cool and i can just drag and drop my music from the pc to it without the need for other programs. It also plays movies.;It is a bit bulky but i can live with that;25-34;Male;Jazz;Traveling
385;that it is portable;hard to figure out;45-54;Female;Classical;Relaxing
38;batteries last a long time;The buttons are small.;35-44;Female;Folk;Traveling
100;Long battery life. Good sound quality.;Flimsy construction.;35-44;Male;Rock;Traveling
150;It was cheaper than the overrated Product A.;Don't know.;25-34;Male;Jazz;Traveling
163;It's totally smooth. Much better than Product A. I love cranking it up and tuning everyone else out on the train.;Wish it came in more colors.;<18;Male;R&B;Relaxing
178;it has never let me down. has loud volume for my ageing ears.;it's quite heavy & bulky.;45-54;Male;Country;Other
205;It holds all of my music and it is small.;It is too expensive.;25-34;Female;Blues;Working
215;I was given it as a present, so I just like it.;I haven't really thought about it since I was given it as a present.;>54;Female;Jazz;Traveling
248;I can understand how to use it.;Nothing, it's fine.;>54;Male;Other;Relaxing
405;It was a present, I wouldn't have chosen it. I wanted Product A.;Low storage;<18;Male;Rap;Studying
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
