ID;Comment;Age;Gender;Music;Activity
301;not as pricey as Product Anot as cool and not as easy to use as Product A.;35-44;Male;Country;Traveling
302;Great sound.A bit bigger than some of the newer devices.;35-44;Female;Other;Traveling
303;the fact that it can be charged up and I don't need to carry CDs as all the music is loaded on it already.It is quite heavy. I have to load all the music onto the computer first then download it onto the device which is a bit of a pain.;25-34;Female;Rock;Relaxing
304;music catalogue is better than otherstoo big;25-34;Male;Folk;Working
305;Ease of use, bug freeThere are too many new product updates. Would be good if you could see what the next song in your playlist is.;25-34;Male;Other;Traveling
306;Quite stylish and easy to use.Battery life is terrible. It's too heavy and too unreliable.;35-44;Male;Folk;Traveling
307;I love how it is so small. I also like the games I can playI wish it came in pink.;>54;Female;Folk;Traveling
308;I like the various functions that it offers including music, film & photosIt is too big to carry when exercising;18-24;Female;R&B;Traveling
309;You can listen to anything!nothing;25-34;Female;Blues;Relaxing
310;the colour of the devicei don't like that you need a case to stop the screen from becoming scratched.;45-54;Male;Blues;Working
311;size and weighthalf-baked software;25-34;Male;Other;Traveling
312;Good quality of soundColour;25-34;Female;Rock;Traveling
313;Its very light!Pricey;45-54;Male;Classical;Traveling
314;large drive is keysound quality;35-44;Male;Rock;Other
315;Small size, amount of storage, colour, style and designBattery power is not very good;18-24;Female;Rock;Traveling
316;it portablenot able to transfer music from Product A;25-34;Female;Rock;Traveling
317;sizesound quality;25-34;Female;Other;Other
318;convenienceinterruption;25-34;Male;Rock;Working
319;I finally caved in after seeing all the commericals and seeing people on the train with Product A. It does look sleek.Controls are too small. Geared for younger people with better eyes.;25-34;Male;Rock;Traveling
320;You can listen to your own music wherever you areSize. Bit too bulky.;35-44;Male;R&B;Other
321;It's small and light, long battery life, good sound quality.Slow upload times;25-34;Male;Other;Traveling
322;the sizeearphone quality;35-44;Female;Jazz;Traveling
323;Hats off (again). Every time they upgrade I buy the lastest (and give my old one to friends or sell online). The latest version with video and photo capability is amazing. Plus it's lighter and thinner and holds like 15,000 songs. For me though, having access to tunes on the web makes all the difference. It's the best source for digital music hands down.Nothing.;25-34;Male;Rock;Other
324;form, function, memory, ease of usedurability;35-44;Male;Rock;Other
325;it looks beautiful and it is easy to use.soemtimes i lose the songs because i have not set up the play list correctly;35-44;Female;Rock;Relaxing
326;Its smaller and lighter than a personal cassette player.It uses old technology;35-44;Male;R&B;Traveling
327;stylehigh cost;35-44;Female;Other;Other
328;portabilitypricey;18-24;Female;Other;Other
329;Sizeincompatiability;25-34;Male;Other;Traveling
330;It's part of my organizer so I don't have to carry too much hardware around.Capacity;35-44;Male;Other;Traveling
331;Uses removable memory cards.White color.;45-54;Male;Folk;Traveling
332;it plays musicthe batteries run out;25-34;Male;Other;Traveling
333;It is lightweight and ruggedIt is ugly;35-44;Male;Rock;Other
334;I like the well-designed interface and large capacity.It's expensive.;<18;Male;Rock;Relaxing
335;The size is best.Cost.;25-34;Male;Blues;Other
336;looks coolscreen is easy to scratch;25-34;Female;Folk;Traveling
337;it looks cool, I like gadgets and I like having all my music with me on long car tripsthe battery runs out.;35-44;Male;R&B;Traveling
338;compact and good sound qualitycontrol buttons ver small;35-44;Female;R&B;Traveling
339;It is small and yet has good sound quality.I have to pay for songs that I already have on CD.;>54;Female;Jazz;Other
340;I can listen to only the songs that I like.Nothing.;25-34;Male;Rock;Traveling
341;Its got the best sound quality of any device i've ever hadnothing;45-54;Male;R&B;Working
342;It's small so no one notices that I'm listening to it at work.It's out dated. I want a new one.;18-24;Male;Country;Working
343;No skipping of tracks when I move.Low battery life and everyone else has one.;18-24;Female;Other;Traveling
344;easy to operate, light weight, lot of memory spacenothing;25-34;Female;Other;Traveling
345;Cheaper than Product A. Just want to listen to music. Don't need video, movies, etc. Perfect for my humble needs.None that I can think of;35-44;Male;Jazz;Relaxing
346;stops me being bored cuz I can listen while I'm workingprice;>54;Male;Blues;Working
347;style and portabilityMore space without more bulkiness;25-34;Male;Other;Traveling
348;small and neat, easy to take around with meso far it's all been fine but could you make it in nicer colours, my phone is pink for instance.;35-44;Female;Folk;Traveling
349;I can have all my favourite music with me so I don't get bored and it's so easy to usethe headphones socket is faulty so I have to use tape to fix it which is not great;<18;Female;R&B;Traveling
350;It has so much storage!Nothing. I love everything about it.;25-34;Female;Classical;Traveling
351;Product A is small but with a large capacity for tracksnot as small as newer versions of other products;35-44;Male;Other;Traveling
352;It is prettyNothing;18-24;Female;Other;Traveling
353;It's puny and easy to carryI have Product A and it doesn't give me options for controlling the order of play.;45-54;Female;Jazz;Working
354;stylish appearanceprice and size;45-54;Male;Rock;Other
355;sound qualitytoo hard to use;35-44;Male;Blues;Traveling
356;I can listen to my music where ever I wantI can not hear what anyone else is saying;18-24;Female;Classical;Other
357;The small sizeThe sound;35-44;Female;Rock;Relaxing
358;The massive amount of storage capacity as well as the ease of use are the primary factors. I also like the sleek look of the product.Can't show video on the device but new ones can. Cost is too high.;35-44;Male;Rock;Traveling
359;Big capacity! Nice design and easy to use.Cost is too much. Can't play video but the new ones can.;35-44;Male;Rock;Traveling
360;It is nicely designed with great features that are easy to use. The large 60GB capicity is wonderful! I love the color screen.Cost is very high. Wish it could play video like the newer model.;35-44;Male;Rock;Traveling
361;It's ok for working out. I wanted Product A but got this as a gift.It's ulgy;18-24;Female;Rock;Other
362;"Design perfection; visually attractive, slim, lightweight. Big hard driveLED screen hard to read.";35-44;Male;Classical;Working
363;It's large enough to hold all my music and the battery lasts foreverIt was expensive;25-34;Female;Other;Traveling
364;colorsize;18-24;Female;Other;Working
365;color optionscostly;45-54;Male;Rock;Other
366;It lets me listen to my classic rock whenever I want.It was expensive, batteries do not last long.;45-54;Female;Rock;Relaxing
367;The sizeThe battery life;25-34;Male;Jazz;Working
368;portable, light small powerfulbattery life, some popular music formats cannot be played;18-24;Male;R&B;Traveling
369;conveniance to listen to my music wherever I am. It is able to store all my music so i have whatever i want when i want it.it was expensive;25-34;Male;Rap;Traveling
370;The colorThe screen;25-34;Female;Rock;Working
371;convenient sizenew batteries are expensive;35-44;Female;Rock;Working
372;it's compact. i can store loads of songs on it.no complaints.;25-34;Female;Rock;Traveling
373;easy to useI had to get it repaired;18-24;Female;R&B;Traveling
374;Amount of memoryDoesn't support all music formats;18-24;Female;R&B;Working
375;Small, lightThe headphones, too big;18-24;Female;R&B;Traveling
376;Provides entertainment whilst traveling to and from work.size;18-24;Male;Rock;Traveling
377;can use where and when i wantchances of losing it are high;18-24;Male;Classical;Relaxing
378;small, affordableold technology;<18;Male;Rock;Traveling
379;it is compactit is only 256MB;25-34;Male;Rock;Other
380;Can store files other than music, small enough to fit in my pocket, and has FM radioNothing;25-34;Male;R&B;Traveling
381;it's reliable.it's a bit bulky.;35-44;Female;Other;Other
382;ease of usecost;25-34;Female;Rock;Working
383;lightbroke three time within first 6 months, need to be replaced. quality is poor;35-44;Male;Other;Traveling
384;Easy to use and it looks cool and i can just drag and drop my music from the pc to it without the need for other programs. It also plays movies.It is a bit bulky but i can live with that;25-34;Male;Jazz;Traveling
385;that it is portablehard to figure out;45-54;Female;Classical;Relaxing
386;it holds alot of songs and is good qualityhard to find the songs you want to listen to;18-24;Female;Rock;Traveling
387;It stores lots of music, easy to use and good sound quality.not much;25-34;Male;Other;Traveling
388;It has a radio in it so I can listen to the radio in the morning on the train and to music in the afternoon on the way home.It doesn't wirelessly connect to my home stereo.;25-34;Male;Rock;Traveling
389;it has a radio tuner too.weight;45-54;Male;Rock;Traveling
390;The number of tracks that it holdsTransfering tracks to device and categorising;35-44;Male;Blues;Traveling
391;rechargable batteryit's quite bulky;<18;Female;Blues;Working
392;its small and convenientnon rechargable battery;>54;Male;Country;Relaxing
393;appealing aestheticits small storage capacity;18-24;Male;Rap;Traveling
394;size and costIt could be better designed;25-34;Male;Rock;Traveling
395;Built in radioSound quality;35-44;Male;Classical;Other
396;Easy to carrycolor;35-44;Male;Country;Traveling
397;Small and stylishVery short battery life;35-44;Male;Rock;Traveling
398;Small, fairly cheapRandom song order and small memory capacity;45-54;Male;R&B;Traveling
399;Very cheap with built-in radio and good battery life.Nothing, I love it!;35-44;Male;Other;Traveling
400;It is light and compactColour;35-44;Male;Rock;Traveling
401;Can store lots of music. Is easy to use.Battery life.;>54;Male;Classical;Relaxing
402;It's capacity and ease of use.Doesn't hold up to casual abuse.;25-34;Male;Rock;Traveling
403;can take it anywherenothing;35-44;Female;Blues;Traveling
404;decent pricetoo big;35-44;Female;Other;Traveling
405;It was a present, I wouldn't have chosen it. I wanted Product A.Low storage;<18;Male;Rap;Studying
